,Approved Amount,Institution,Location Tag,postalcode,canton
4,1000122.0,Abteilung Biochemie Biozentrum Universität Basel,,3012,BE
5,230218.0,Abteilung Geowissenschaften Naturhistorisches Museum Basel,,3401,BE
6,188000.0,Abteilung Mikrobiologie Biozentrum Universität Basel,,8280,TG
7,180269.0,Abwasserverband Altenrhein,,4003,BS
8,504497.0,Addiction Info Suisse,,1950,VS
9,4000.0,Agrogen-Stiftung,,None,None
10,25000.0,Albrecht von Haller-Stiftung,,8600,ZH
11,230089.0,Alimentarium Musée de l'alimentation,,3052,BE
12,229910.0,Alter Ego,,8600,ZH
13,1782331.0,Amt für Archäologie des Kantons Thurgau,,"Viale Officina 3, Bellinzona, Switzerland",None
14,375813.0,Amt für Raumentwicklung Baudirektion Kanton Zürich,,1015,VD
15,293700.0,Amt für Städtebau der Stadt Zürich Archäologie/Denkmalpflege,,8092,ZH
16,365640.0,Amt für Wasserwirtschaft,,3900,VS
17,977384.0,Antikenmuseum,,8050,ZH
18,196830.0,Appellationsgericht Basel-Stadt,,4600,SO
19,87550.0,Arbeitsgemeinschaft Swissaid / Fastenopfer / Brot für alle / Helvetas / Caritas,,"9000 St Gallen, Switzerland",None
20,235000.0,Arbeitsgemeinschaft zur Förderung des Futterbaues (AGFF),,None,None
21,85000.0,Arbeitslehrerinnenseminar des Kantons Zürich,,None,None
22,15860.0,Arbeitsstelle der Stiftung für kulturwissenschaftliche Forschungen,,4058,BS
23,192273.0,Arche Verlag AG,,None,None
24,1257112.0,"Architektur, Holz und Bau Berner Fachhochschule",,None,None
25,437096.0,Archiv für Agrargeschichte,,1700,FR
26,620680.0,Archives D'Etat de Genève Etat de Genève,,6900,TI
27,862554.0,Archives d'Etat de Genève,,6924,TI
28,106524.0,Archives de l'Etat de Fribourg,,"Geneva, Switzerland",None
29,15000.0,Archives de l'Etat de Neuchâtel,,2800,JU
30,12385.0,Archives du Chapitre cathédral,,1700,FR
31,2469847.0,Archivio di Stato del Canton Ticino,,"1014, Avenue de Cour 33, 1007 Lausanne, Switzerland",None
32,68200.0,Archäologie Schweiz,,2800,JU
33,520594.0,Archäologie Schweizerisches Landesmuseum,,6002,LU
34,725233.0,Archäologie und Kantonsmuseum Kanton Basel-Landschaft Regierungsgebäude,,8057,ZH
35,994369.0,"Archäologie, Bauhütte Stiftung Pro Kloster St. Johann in Müstair",,1920,VS
36,147229.0,Archäologische Bodenforschung des Kantons Basel-Stadt,,"Maison de la Paix, Chemin Eug?ne-Rigot 2, 1202 Gen?ve, Switzerland",None
37,103756.0,Archäologischer Dienst Graubünden Amt für Kultur,,7000,GR
38,330694.0,Archäologischer Dienst Graubünden Schloss,,None,None
39,256785.0,Archäologischer Dienst des Kantons Bern,,6600,TI
40,264143.0,Assocation suisse pour le service aux regions et communes (SEREC),,None,None
41,27515.0,Association Pro Lousonna Musée cantonal d'Archéologie et d'Histoire,,None,None
42,289423.0,Association Pro Vistiliaco,,1066,VD
43,29000.0,Association Vaudoise des Chercheurs en Physique,,1967,VS
44,202343.0,Association internationale de la sécurité sociale (AISS),,9007,SG
45,236660.0,BAK Konjunkturforschung Basel AG,,"1015 Lausanne, Switzerland",None
46,3231245.0,BATS Fachstelle für Biosicherheits- forschung und Abschätzung von Technologiefolgen des SPP BioTech,,6002,LU
47,8000.0,Basel Institute on Governance,,None,None
48,301722.0,Basler Denkmalpflege Museum kleines Klingental,,2000,NE
49,43780.0,Baudirektion des Kantons Zürich ARV Kantonale Denkmalpflege,,None,None
50,1224866.0,Bernisches Historisches Museum,,3012,BE
51,67000.0,Bibliothek Kantonsschule Luzern,,4410,BL
52,340773.0,Bibliothek Staatsarchiv des Kantons Zürich,,7000,GR
53,95248.0,Bibliotheque militaire fédérale,,6003,LU
54,364832.0,Bibliothèque Office fédéral de la statistique,,9000,SG
55,98160.0,Bibliothèque cantonale et universitaire,,8200,SH
56,77013.0,Bibliothèque cantonale jurassienne,,6410,SZ
57,40000.0,Bibliothèque cantonale universitaire,,8280,TG
58,154795.0,Bibliothèque de Genève Département des périodiques,,None,None
59,37250.0,Bibliothèque publique et universitaire,,8090,ZH
60,669925.0,Bildungsplanung / Biblothek Bildungsdirektion des Kantons Zürich,,6301,ZG
61,128767.0,Borchardt-Cohen'schen Stiftung,,None,None
62,301432.0,Bundesamt für Justiz,,"5232 Villigen, Switzerland",None
63,216659.0,Bundesamt für Justiz Hauptabteilung Staats- und Verwaltungsrecht,,3011,BE
64,10430.0,Bundesamt für Kultur,,None,None
65,590000.0,Bundesamt für Landestopografie,,9000,SG
66,202928.0,Bundesamt für Landwirtschaft,,9400,SG
67,2166077.0,Bundesamt für Meteorologie und Klimatologie MeteoSwiss,,7270,GR
68,18880.0,Bundesamt für Sozialversicherung,,1206,GE
69,1484675.0,Bundesamt für Umwelt BAFU,,8032,ZH
70,50000.0,Bundesamt für Verbraucherschutz und Lebensmittelsicherheit (BVL),,6207,LU
71,201301.0,Bundesamt für Veterinärwesen Bibliothek,,None,None
72,4925.0,Bundesamt für Wasser und Geologie Landeshydrologie und -geologie LHG,,6928,TI
73,1067387.0,Bundeshaus West NFP 27,,6900,TI
74,280523.25,Bureau de l'égalité des droits entre homme et femme,,None,None
75,12000.0,Bureau de l'égalité entre les femmes et les hommes,,None,None
76,15000.0,Burgerbibliothek,,8006,ZH
77,54489.0,Burgerbibliothek Bern,,None,None
78,201018.0,Bündner Naturmuseum Bibliothek,,8315,ZH
79,100000.0,Büro Z Arbeitsgemeinschaft für Wohnen + Stadtfragen,,5001,AG
80,1097269.0,Büro für Archäologie der Stadt Zürich,,5400,AG
81,3885731.87,CABI,,4056,BS
82,80901.0,CEDOTEC Service d'information documentaire,,4051,BS
83,377430.0,CERFIM,,4056,BS
84,226002.0,CESSRIVE Bibliothèque,,9423,SG
85,1075204.0,Capo Divisione Istituti e Servizi Dipartimento delle Opere Sociali,,None,None
86,1007754.0,Center for Experimental Pathology Istituto Cantonale di Patologia,,3421,BE
87,1023900.0,Centre de Recherche de Genève,,3005,BE
88,72393.0,Centre de Recherche sur le Phénomène Urbain (CREPU/EAUG),,1800,VD
89,109516.0,Centre de conservation de la faune et de la nature Bibliothèque,,None,None
90,1840911.0,Centre de recherche MISC Faculté des sciences sociales et politiques Université de Lausanne,,8510,TG
91,65077.0,Centre for Socio-Eco-Nomic Development,,8910,ZH
92,1049595.0,Centre régional d'étude des populations alpines - CREPA,,8021,ZH
93,1396889.0,Centre suisse de recherche et d'information sur le vitrail,,None,None
94,12010.0,Chantier Ramuz Bibliothèque des Cèdres,,4051,BS
95,315000.0,Chartularium Sangallense Stadthaus,,4051,BS
96,918211.0,Cinémathèque suisse Centre d'Archivage,,None,None
97,20695.0,Collège Cantonal Saint-Michel,,8046,ZH
98,94796.0,Collège secondaire de Béthusy,,None,None
99,671078.0,Comité provisoire pour l'Edition des Oeuvres de Benjamin Constant,,None,None
100,12438081.0,Commission administrative du GPSR,,None,None
101,329872.0,Commission du Centre Suisse en Côte d'Ivoire,,3401,BE
102,2559945.0,Commission nationale pour la publication des DDS,,6500,TI
103,8429221.0,Commissione scientifica del VDSI,,3007,BE
104,9760.0,Conservatoire de Lausanne,,1204,GE
105,3433051.0,Conservatoire et jardin botaniques de la Ville de Genève,,1204,GE
106,425000.0,Croix-Rouge suisse Domaine formation professionnelle,,1700,FR
107,240467.0,Curatorium de l'Atlas linguistique de l'Afghanistan,,"Rue de la Coll?giale 12, Ch?teau, 2000 Neuch?tel, Switzerland",None
108,385674.0,Curatorium pour la biographie de W. Rappard,,1950,VS
109,183728.0,Curia Vescovile,,6500,TI
110,1821989.0,DEZA Fachsektion COPRET,,4051,BS
111,984484.0,Denkmalpflege für bundeseigene Bauten c/o Amt für Bundesbauten,,8001,ZH
112,114821.0,Denkmalpflege und Archäologie des Kantons Luzern,,None,None
113,10000.0,Departement Umweltsystemwissenschaften ETH Zürich,,"7537 M?stair, Switzerland",None
114,401087.0,"Dienststelle für Hochbau, Denkmalpflege und Archäologie",,None,None
115,69245.0,Diplomatische Dokumente der Schweiz,,7000,GR
116,326864.0,Direction de l'instruction publique et des affaires culturelles,,7000,GR
117,205575.0,Direction des Musées cantonaux du Valais,,3018,BE
118,335000.0,Division d'Immunologie Moléculaire Institut Ludwig de Recherche sur le Cancer,,None,None
119,20380.0,Divisione della Cultura Dipartimento dell'istruzione e della cultura del Cantone Ticino,,None,None
120,105209.0,Dokuzentrum Gesundheitswesen,,None,None
121,343853.0,Département de Biologie Cellulaire Faculté des Sciences Université de Genève,,None,None
122,1240000.0,Département de Biologie Moléculaire Faculté des Sciences Université de Genève,,1202,GE
