,Approved Amount,Institution,Location Tag,postalcode,canton
8,504497,Addiction Info Suisse,,1950,VS
9,4000,Agrogen-Stiftung,,None,None
10,25000,Albrecht von Haller-Stiftung,,8600,ZH
11,230089,Alimentarium Musée de l'alimentation,,3052,BE
12,229910,Alter Ego,,8600,ZH
13,1782331,Amt für Archäologie des Kantons Thurgau,,"Viale Officina 3, Bellinzona, Switzerland",None
14,375813,Amt für Raumentwicklung Baudirektion Kanton Zürich,,1015,VD
15,293700,Amt für Städtebau der Stadt Zürich Archäologie/Denkmalpflege,,8092,ZH
16,365640,Amt für Wasserwirtschaft,,3900,VS
17,977384,Antikenmuseum,,8050,ZH
18,196830,Appellationsgericht Basel-Stadt,,4600,SO
19,87550,Arbeitsgemeinschaft Swissaid / Fastenopfer / Brot für alle / Helvetas / Caritas,,"9000 St Gallen, Switzerland",None
20,235000,Arbeitsgemeinschaft zur Förderung des Futterbaues (AGFF),,None,None
21,85000,Arbeitslehrerinnenseminar des Kantons Zürich,,None,None
22,15860,Arbeitsstelle der Stiftung für kulturwissenschaftliche Forschungen,,4058,BS
23,192273,Arche Verlag AG,,None,None
24,1257112,"Architektur, Holz und Bau Berner Fachhochschule",,None,None
25,437096,Archiv für Agrargeschichte,,1700,FR
26,620680,Archives D'Etat de Genève Etat de Genève,,6900,TI
27,862554,Archives d'Etat de Genève,,6924,TI
28,106524,Archives de l'Etat de Fribourg,,"Geneva, Switzerland",None
29,15000,Archives de l'Etat de Neuchâtel,,2800,JU
30,12385,Archives du Chapitre cathédral,,1700,FR
31,2469847,Archivio di Stato del Canton Ticino,,"1014, Avenue de Cour 33, 1007 Lausanne, Switzerland",None
32,68200,Archäologie Schweiz,,2800,JU
33,520594,Archäologie Schweizerisches Landesmuseum,,6002,LU
34,725233,Archäologie und Kantonsmuseum Kanton Basel-Landschaft Regierungsgebäude,,8057,ZH
35,994369,"Archäologie, Bauhütte Stiftung Pro Kloster St. Johann in Müstair",,1920,VS
36,147229,Archäologische Bodenforschung des Kantons Basel-Stadt,,"Maison de la Paix, Chemin Eugène-Rigot 2, 1202 Genève, Switzerland",None
37,103756,Archäologischer Dienst Graubünden Amt für Kultur,,7000,GR
38,330694,Archäologischer Dienst Graubünden Schloss,,None,None
39,256785,Archäologischer Dienst des Kantons Bern,,6600,TI
40,264143,Assocation suisse pour le service aux regions et communes (SEREC),,None,None
41,27515,Association Pro Lousonna Musée cantonal d'Archéologie et d'Histoire,,None,None
42,289423,Association Pro Vistiliaco,,1066,VD
43,29000,Association Vaudoise des Chercheurs en Physique,,1967,VS
44,202343,Association internationale de la sécurité sociale (AISS),,9007,SG
45,236660,BAK Konjunkturforschung Basel AG,,"1015 Lausanne, Switzerland",None
46,3231245,BATS Fachstelle für Biosicherheits- forschung und Abschätzung von Technologiefolgen des SPP BioTech,,6002,LU
47,8000,Basel Institute on Governance,,2000,NE
48,301722,Basler Denkmalpflege Museum kleines Klingental,,None,None
49,43780,Baudirektion des Kantons Zürich ARV Kantonale Denkmalpflege,,3012,BE
50,1224866,Bernisches Historisches Museum,,4410,BL
51,67000,Bibliothek Kantonsschule Luzern,,7000,GR
52,340773,Bibliothek Staatsarchiv des Kantons Zürich,,6003,LU
53,95248,Bibliotheque militaire fédérale,,9000,SG
54,364832,Bibliothèque Office fédéral de la statistique,,8200,SH
55,98160,Bibliothèque cantonale et universitaire,,6410,SZ
56,77013,Bibliothèque cantonale jurassienne,,8280,TG
57,40000,Bibliothèque cantonale universitaire,,None,None
58,154795,Bibliothèque de Genève Département des périodiques,,8090,ZH
59,37250,Bibliothèque publique et universitaire,,6301,ZG
60,669925,Bildungsplanung / Biblothek Bildungsdirektion des Kantons Zürich,,None,None
61,128767,Borchardt-Cohen'schen Stiftung,,"5232 Villigen, Switzerland",None
62,301432,Bundesamt für Justiz,,3011,BE
63,216659,Bundesamt für Justiz Hauptabteilung Staats- und Verwaltungsrecht,,None,None
64,10430,Bundesamt für Kultur,,9000,SG
65,590000,Bundesamt für Landestopografie,,9400,SG
66,202928,Bundesamt für Landwirtschaft,,7270,GR
67,2166077,Bundesamt für Meteorologie und Klimatologie MeteoSwiss,,1206,GE
68,18880,Bundesamt für Sozialversicherung,,8032,ZH
69,1484675,Bundesamt für Umwelt BAFU,,6207,LU
70,50000,Bundesamt für Verbraucherschutz und Lebensmittelsicherheit (BVL),,None,None
71,201301,Bundesamt für Veterinärwesen Bibliothek,,6928,TI
72,4925,Bundesamt für Wasser und Geologie Landeshydrologie und -geologie LHG,,6900,TI
73,1067387,Bundeshaus West NFP 27,,None,None
74,280523.25,Bureau de l'égalité des droits entre homme et femme,,None,None
75,12000,Bureau de l'égalité entre les femmes et les hommes,,8006,ZH
76,15000,Burgerbibliothek,,None,None
77,54489,Burgerbibliothek Bern,,8315,ZH
78,201018,Bündner Naturmuseum Bibliothek,,5001,AG
79,100000,Büro Z Arbeitsgemeinschaft für Wohnen + Stadtfragen,,5400,AG
80,1097269,Büro für Archäologie der Stadt Zürich,,4056,BS
81,3885731.87,CABI,,4051,BS
82,80901,CEDOTEC Service d'information documentaire,,4056,BS
83,377430,CERFIM,,9423,SG
84,226002,CESSRIVE Bibliothèque,,None,None
85,1075204,Capo Divisione Istituti e Servizi Dipartimento delle Opere Sociali,,3421,BE
86,1007754,Center for Experimental Pathology Istituto Cantonale di Patologia,,3005,BE
87,1023900,Centre de Recherche de Genève,,1800,VD
88,72393,Centre de Recherche sur le Phénomène Urbain (CREPU/EAUG),,None,None
89,109516,Centre de conservation de la faune et de la nature Bibliothèque,,8510,TG
90,1840911,Centre de recherche MISC Faculté des sciences sociales et politiques Université de Lausanne,,8910,ZH
91,65077,Centre for Socio-Eco-Nomic Development,,8021,ZH
92,1049595,Centre régional d'étude des populations alpines - CREPA,,None,None
93,1396889,Centre suisse de recherche et d'information sur le vitrail,,4051,BS
94,12010,Chantier Ramuz Bibliothèque des Cèdres,,4051,BS
95,315000,Chartularium Sangallense Stadthaus,,None,None
96,918211,Cinémathèque suisse Centre d'Archivage,,8046,ZH
97,20695,Collège Cantonal Saint-Michel,,None,None
98,94796,Collège secondaire de Béthusy,,None,None
99,671078,Comité provisoire pour l'Edition des Oeuvres de Benjamin Constant,,None,None
100,12438081,Commission administrative du GPSR,,3401,BE
101,329872,Commission du Centre Suisse en Côte d'Ivoire,,6500,TI
102,2559945,Commission nationale pour la publication des DDS,,3007,BE
103,8429221,Commissione scientifica del VDSI,,1204,GE
104,9760,Conservatoire de Lausanne,,1204,GE
105,3433051,Conservatoire et jardin botaniques de la Ville de Genève,,1700,FR
106,425000,Croix-Rouge suisse Domaine formation professionnelle,,"Rue de la Collégiale 12, Château, 2000 Neuchâtel, Switzerland",None
107,240467,Curatorium de l'Atlas linguistique de l'Afghanistan,,1950,VS
108,385674,Curatorium pour la biographie de W. Rappard,,6500,TI
109,183728,Curia Vescovile,,4051,BS
110,1821989,DEZA Fachsektion COPRET,,8001,ZH
111,984484,Denkmalpflege für bundeseigene Bauten c/o Amt für Bundesbauten,,None,None
112,114821,Denkmalpflege und Archäologie des Kantons Luzern,,"7537 Müstair, Switzerland",None
113,10000,Departement Umweltsystemwissenschaften ETH Zürich,,None,None
114,401087,"Dienststelle für Hochbau, Denkmalpflege und Archäologie",,7000,GR
115,69245,Diplomatische Dokumente der Schweiz,,7000,GR
