,Approved Amount,Institution,Location Tag,postalcode,canton
335,10000,Schweizerische Arbeitsgruppe für Kriminologie,,None,None
336,8452114,Schweizerische Bauernhausforschung,,None,None
337,72180,Schweizerische Gesellschaft für Geschichte Generalsekretariat,,None,None
338,321200,Schweizerische Gesellschaft für Theaterkultur,,None,None
339,2657910,Schweizerische Gesellschaft für Volkskunde,,None,None
340,100125,"Schweizerische Kommission ""Mittellateinisches Wörterbuch""",,None,None
341,146500,Schweizerische Kommission für Mole- kularbiologie/ Prof. Angela Krämer Biologie Cellulaire/ Science III,,None,None
342,197587,Schweizerische Konferenz der kantonalen Erziehungsdirektoren EDK,,None,None
343,281168,Schweizerische Musikforschende Gesellschaft,,None,None
344,48720,Schweizerische Nationalbibliothek,,None,None
345,4234681,Schweizerische Rechtsquellen c/o Universität Zürich / RWI,,None,None
346,5429719,Schweizerische Vogelwarte,,None,None
347,260000,Schweizerischer Juristenverein,,None,None
348,1275744,Schweizerisches Bundesarchiv,,None,None
349,522139,Schweizerisches Bundesgericht,,None,None
350,430031,Schweizerisches Institut für Volkskunde (SIV),,None,None
351,927704,Schweizerisches Literaturarchiv,,None,None
352,395198,Schweizerisches Nationalmuseum Landesmuseum Zürich,,None,None
353,154725,Schweizerisches Sozialarchiv Abt. Periodika,,None,None
354,174200,Scuola cantonale supperiore di commercio,,None,None
355,13000,Sekretariat des Schweizerischen Apothekervereins,,None,None
356,442280,Service archéologique Canton de Fribourg,,None,None
357,276938,Service de la protection des monuments et sites,,None,None
358,528446,Service de la recherche en éducation (SRED) Bibliothèque,,None,None
359,1423409,Services communs aux groupes du Département de Biologie moléculaire,,None,None
360,572522,Servizio di documentazione Organizzazione sociopsichiatrica cantonale (OSC),,None,None
361,160000,Sezione dell'azione sociale,,None,None
362,136928,Sezione sanitaria Dipartimento delle opere sociali,,None,None
363,106204,Site et Musée romains Fondation Pro Aventico Casa postale 237,,None,None
364,15000,Site et Musée romains d'Avenches,,None,None
365,7929316,Societa Retorumantscha Dicziunari Rumantsch Grischun,,None,None
366,230076,Société d'études töpffériennes,,None,None
367,275523,Société générale suisse d'histoire,,None,None
368,292236,Sottas formative works,,None,None
369,383412,Sozialmedizinische Beratungsstelle für Jugendliche Integrative Psych. Winterthur,,None,None
370,118750,Sozialversicherungsgericht des Kantons Zürich,,None,None
371,37000,Sportwissenschaftliches Institut Bundesamt für Sport Forschungsinstitut,,None,None
372,3377898,Sprachatlas der deutschen Schweiz,,None,None
373,455364,Staatsarchiv,,None,None
374,304751,Staatsarchiv Basel Stadt,,None,None
375,911652,Staatsarchiv Fribourg,,None,None
376,1225000,Staatsarchiv Graubünden,,None,None
377,34300,"Staatsarchiv Kanton Aargau Departement Bildung, Kultur und Sport",,None,None
378,105000,Staatsarchiv Uri,,None,None
379,498952,Staatsarchiv des Kantons Bern,,None,None
380,147644,Staatsarchiv des Kantons Luzern,,None,None
381,27000,Staatssekretariat für Wirtschaft (SECO),,None,None
382,1183601,Stadtarchiv Vadiana,,None,None
383,318116,Stadtbibliothek Schaffhausen,,None,None
384,380000,Stadtärztlicher Dienst,,None,None
385,8694688,Stift. Pro Kloster St. Johann in Müstair,,None,None
386,42500,Stiftsarchiv,,None,None
387,1468124,Stiftsbibliothek St. Gallen,,None,None
388,120836,Stiftschule Einsiedeln Rektorat,,None,None
389,244148,"Stiftung ""Pro Innerrhoden""",,None,None
390,558751,Stiftung Bibliothek Werner Oechslin,,None,None
391,29010,Stiftung FSMA-HR. Sennhauser,,None,None
392,256000,Stiftung Kinderdorf Pestalozzi,,None,None
393,920775,Stiftung Landschaftsschutz Schweiz,,None,None
394,157476,Stiftung Ziegelei-Museum,,None,None
395,3700,Stiftung Zürcher Kinder- und Jugendheime,,None,None
396,70000,Stiftung für Forschung in Spätantike und Mittelalter,,None,None
397,7500,Stiftung für Patientensicherheit,,None,None
398,1935131,Stiftung für eine Historisch-Kritische Gottfried Keller-Ausgabe,,None,None
399,62900,Stiftung für eine Kritische Robert Walser- Ausgabe Frau Dr. Barbara von Reibnitz,,None,None
400,104825,Strittmatter + Partner AG,,None,None
401,1144924,Sucht Schweiz,,None,None
402,133862,Sukkulentensammlung Zürich,,None,None
403,2899740,Swiss Clinical Trial Organisation (SCTO),,None,None
404,156855,TA-SWISS Zentrum für Technologiefolgenabschätzung,,None,None
405,261630,The Robots Podcast Association,,None,None
406,100000,Theologisches Seminar Bienenberg,,None,None
407,449835,Tk3 AG,,None,None
408,25000,Tribunal des Mineurs,,None,None
409,59306,Tribunal fédéral,,None,None
410,96560,Trimarca AG,,None,None
411,2828458,Tschudi-Kommission der AGGS Staatsarchiv Zürich,,None,None
412,25000,UNI: Selbsthilfegruppe der Prostitutierten Praha TS,,None,None
413,253972,Ufficio dei beni culturali,,None,None
414,250720,Ufficio geologico cantonale,,None,None
415,90000,Ufficio studi e ricerche del Dipartimento dell'istruzione e della cultura,,None,None
416,425000,Unite d'oncologie experimentale CHUV - Université de Lausanne,,None,None
417,265394,United Nations Research Institute for Social Development (UNRISD),,None,None
418,251880.84,Unité d'études et de statistiques de l'Hospice général,,None,None
419,3500,Verband der Schweizerischen Volkshochschulen,,None,None
420,500366,"Verein ""Schweizerische Juristische Datenbank""",,None,None
421,2448763,Verein Arbeitsstelle Schweiz des RISM,,None,None
422,2400,Verein Feministische Wissenschaft Schweiz,,None,None
423,9000,Verein NGL-SAA Neue Galerie Luzern - Swiss Academic Association,,None,None
424,12000,Verein politikinitiativen Zürich c/o PIN,,None,None
425,20000,Vereinigung Walliser Museen (VWM),,None,None
426,1500,ViaStoria - Zentrum für Verkehrsgeschichte Kulturwege Schweiz,,None,None
427,136047,Vindonissa Museum,,None,None
428,16230.73,Vitrocentre Romont,,None,None
429,330992,Volkswirtschaftliches Institut Abteilung Oekonometrie,,None,None
430,10000,WDA Forum,,None,None
431,8500,WDA Forum AG,,None,None
432,119094,WOHNSTADT Bau- und Verwaltungsgenossenschaft,,None,None
433,2080085,Wasser- und Energiewirtschaftsamt des Kantons Bern,,None,None
434,3000,Webster University,,None,None
435,117162,Wessenbergkommission,,None,None
436,875384,Wissenschaftliche Nationalpark- Kommission Institut de Zoologie,,None,None
437,251252,Wissenschaftliche Nationalpark- Kommission Institut für Waldbau,,None,None
438,25299,Wissensstadt Davos,,None,None
439,706485,Zentral- & Hochschulbibliothek,,None,None
440,874401,Zentralbibliothek Solothurn,,None,None
441,1445731,Zentralbibliothek Zürich,,None,None
442,182952,Zentrum für Sprachstörungen,,None,None
443,1235385,Zwingliverein Schweiz. Landesmuseum,,None,None
444,240000,Zürcher Handelskammer Börsengebäude,,None,None
445,6700,cfd - Migrationspolitik und Friedenspolitik,,None,None
446,38000,oikos foundation Institute for Economy and the Environment University of St.Gallen,,None,None
447,12000,swisstopo Bundesamt für Landestopographie,,None,None
448,14000,syndicom,,None,None
449,349500,École des Hautes Études Commerciales Université de Lausanne,,None,None
